125,8
42,7
38,9
34,11
29,14
25,18
21,22
17,28
14,31
13,35
13,39
13,45
12,50
12,56
12,62
12,66
12,70
14,75
16,80
21,84
24,86
29,86
35,84
41,82
45,79
50,78
57,76
64,75
67,75
73,77
79,79
86,81
91,85
96,90
100,94
104,101
104,108
105,116
102,123
95,128
89,131
83,133
76,133
70,134
64,133
58,130
52,130
43,132
38,134
33,138
31,143
27,148
24,155
21,163
17,168
14,174
13,179
12,187
13,193
15,199
18,202
24,203
33,202
39,202
48,202
56,202
61,200
64,199
64,192
64,183
65,177
65,173
66,170
70,171
76,171
82,171
84,170
89,170
92,170
92,176
92,181
92,186
92,189
92,193
97,192
103,192
108,192
114,191
121,192
124,192
124,186
124,180
124,175
124,171
124,168
131,169
137,169
146,169
152,169
157,169
165,168
170,168
174,169
175,163
175,158
175,153
174,146
174,141
174,137
170,137
163,137
154,137
146,137
141,136
137,133
133,129
132,123
134,118
134,113
136,109
140,105
145,102
152,100
159,95
168,92
177,86
186,82
194,77
199,71
203,64
203,53
198,43
194,38
187,33
183,29
182,23
185,18
188,13
193,13
200,12
206,12
212,12
217,12
220,12
224,12
227,18
233,22
237,26
244,30
249,33
251,39
250,46
249,52
249,59
253,63
256,68
258,74
261,78
261,86
259,92
255,99
252,103
248,108
244,112
242,117
241,124
244,130
247,133
252,137
256,141
260,145
263,146
264,155
265,161
265,169
264,178
262,182
259,188
255,192
248,195
243,195
235,194
229,191
223,188
218,185
212,183
210,187
207,194
207,200
204,207
201,215
197,218
192,219
183,219
170,219
158,219
147,220
133,219
123,219
111,220
